### German Sphere
RGO = "countries/ReichskommissariatGotenland"
MOR = "countries/Morocco.txt"
FFR = "countries/Free France.txt"
### India
ASS = "countries/Assam.txt"
BUR = "countries/Burma.txt"
HYD = "countries/Hyderabad.txt"
TAM = "countries/Tamil.txt"
MAR = "countries/Marathi.txt"
SKM = "countries/Sikkim.txt"
BEN = "countries/Bengal.txt"
KSH = "countries/Kashmir.txt"
### Former USSR
TRK = "countries/Turkestan.txt"
RUS = "countries/Russia.txt"
TRV = "countries/Transvolga.txt"
NRI = "countries/Norilsk.txt"
BRY = "countries/Norilsk.txt"
